('Time: ', '2017-04-29 03:11:54.559754', ' Temperature: ', 82.297999999999988)
('Time: ', '2017-04-29 03:11:54.559754', ' Humidity :', 40.324999999999996)
('Time: ', '2017-04-29 03:11:54.559754', ' Pressure:', 1010.8129999999998)
('Time: ', '2017-04-29 03:12:55.116114', ' Temperature: ', 82.315999999999988)
('Time: ', '2017-04-29 03:12:55.116114', ' Humidity :', 41.045999999999992)
('Time: ', '2017-04-29 03:12:55.116114', ' Pressure:', 1010.8789999999999)
('Time: ', '2017-04-29 03:13:55.728362', ' Temperature: ', 82.469999999999999)
('Time: ', '2017-04-29 03:13:55.728362', ' Humidity :', 40.837000000000003)
('Time: ', '2017-04-29 03:13:55.728362', ' Pressure:', 1010.9099999999999)
('Time: ', '2017-04-29 03:14:56.340719', ' Temperature: ', 82.463999999999999)
('Time: ', '2017-04-29 03:14:56.340719', ' Humidity :', 40.531999999999996)
('Time: ', '2017-04-29 03:14:56.340719', ' Pressure:', 1010.8879999999999)
('Time: ', '2017-04-29 03:15:56.980970', ' Temperature: ', 82.544999999999987)
('Time: ', '2017-04-29 03:15:56.980970', ' Humidity :', 39.945999999999991)
('Time: ', '2017-04-29 03:15:56.980970', ' Pressure:', 1010.96)
('Time: ', '2017-04-29 03:16:57.622237', ' Temperature: ', 82.410999999999987)
('Time: ', '2017-04-29 03:16:57.622237', ' Humidity :', 40.311)
('Time: ', '2017-04-29 03:16:57.622237', ' Pressure:', 1010.9430000000002)
('Time: ', '2017-04-29 03:17:58.262550', ' Temperature: ', 82.290999999999997)
('Time: ', '2017-04-29 03:17:58.262550', ' Humidity :', 40.076000000000008)
('Time: ', '2017-04-29 03:17:58.262550', ' Pressure:', 1011.0060000000001)
('Time: ', '2017-04-29 03:18:58.904553', ' Temperature: ', 81.863000000000014)
('Time: ', '2017-04-29 03:18:58.904553', ' Humidity :', 40.708999999999996)
('Time: ', '2017-04-29 03:18:58.904553', ' Pressure:', 1011.0639999999997)
('Time: ', '2017-04-29 03:19:59.545008', ' Temperature: ', 81.689000000000007)
('Time: ', '2017-04-29 03:19:59.545008', ' Humidity :', 40.815999999999995)
('Time: ', '2017-04-29 03:19:59.545008', ' Pressure:', 1011.109)
('Time: ', '2017-04-29 03:21:00.185350', ' Temperature: ', 81.347999999999999)
('Time: ', '2017-04-29 03:21:00.185350', ' Humidity :', 40.792999999999999)
('Time: ', '2017-04-29 03:21:00.185350', ' Pressure:', 1011.1079999999999)
('Time: ', '2017-04-29 03:22:00.825804', ' Temperature: ', 81.285999999999987)
('Time: ', '2017-04-29 03:22:00.825804', ' Humidity :', 40.911999999999999)
('Time: ', '2017-04-29 03:22:00.825804', ' Pressure:', 1011.0669999999998)
('Time: ', '2017-04-29 03:23:01.438188', ' Temperature: ', 81.152999999999992)
('Time: ', '2017-04-29 03:23:01.438188', ' Humidity :', 40.904000000000003)
('Time: ', '2017-04-29 03:23:01.438188', ' Pressure:', 1011.1209999999999)
